,经纬,latitude,longitude,"""站点名地铁站名"","
229,31.250969 121.571153 '云山路地铁站',121.571153,31.250969,云山路地铁站
230,31.233749 121.442617 '昌平路地铁站',121.442617,31.233749,昌平路地铁站
231,31.213524 121.449141 '常熟路地铁站',121.449141,31.213524,常熟路地铁站
232,31.303685 121.413661 '场中路地铁站',121.413661,31.303685,场中路地铁站
233,31.29332 121.416548 '大场镇地铁站',121.416548,31.29332,大场镇地铁站
234,31.274047 121.422949 '大华三路地铁站',121.422949,31.274047,大华三路地铁站
235,31.190819 121.454897 '东安路地铁站',121.454897,31.190819,东安路地铁站
236,31.19311 121.550115 '芳华路地铁站',121.550115,31.19311,芳华路地铁站
237,31.344594 121.373009 '顾村公园地铁站',121.373009,31.344594,顾村公园地铁站
238,31.171918 121.473756 '后滩地铁站',121.473756,31.171918,后滩地铁站
239,31.211212 121.562754 '花木路地铁站',121.562754,31.211212,花木路地铁站
240,31.187592 121.540041 '锦绣路地铁站',121.540041,31.187592,锦绣路地铁站
241,31.256198 121.421939 '岚皋路地铁站',121.421939,31.256198,岚皋路地铁站
242,31.357586 121.362376 '刘行地铁站',121.362376,31.357586,刘行地铁站
243,31.223083 121.446221 '静安寺地铁站',121.446221,31.223083,静安寺地铁站
244,31.184379 121.457064 '龙华中路地铁站',121.457064,31.184379,龙华中路地铁站
245,31.203575 121.557634 '龙阳路地铁站',121.557634,31.203575,龙阳路地铁站
